[11-Jan-2022 20:52:35 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 118
[11-Jan-2022 20:53:13 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 118
[11-Jan-2022 20:53:45 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 118
[11-Jan-2022 20:53:45 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 118
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Undefined variable: emailsend in /Applications/MAMP/htdocs/portfolio/contactme.php on line 94
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 116
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 116
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 121
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 121
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 130
[11-Jan-2022 20:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 130
[11-Jan-2022 20:56:28 UTC] PHP Parse error:  syntax error, unexpected ';', expecting ']' in /Applications/MAMP/htdocs/portfolio/contactme.php on line 10
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Undefined variable: emailsend in /Applications/MAMP/htdocs/portfolio/contactme.php on line 94
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 116
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 116
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 121
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 121
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Undefined index: messageErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 130
[11-Jan-2022 20:58:02 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 130
[11-Jan-2022 20:58:50 UTC] PHP Notice:  Undefined variable: showProjects in /Applications/MAMP/htdocs/portfolio/inc/projects.php on line 10
[11-Jan-2022 20:58:50 UTC] PHP Notice:  Undefined variable: emailsend in /Applications/MAMP/htdocs/portfolio/contactme.php on line 94
[11-Jan-2022 20:58:50 UTC] PHP Notice:  Undefined index: nameErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 116
[11-Jan-2022 20:58:50 UTC] PHP Notice:  Trying to access array offset on value of type null in /Applications/MAMP/htdocs/portfolio/contactme.php on line 116
[11-Jan-2022 20:58:50 UTC] PHP Notice:  Undefined index: emailErr in /Applications/MAMP/htdocs/portfolio/contactme.php on line 121
